,Unnamed: 0,name,created_at,description,followers_count,id,screen_name,favourites_count,entities,friends_count,location,url,verified,kol_count
2736,2736,devloper.eth (afk ‘til 01/03),2021-08-16 10:48:53+00:00,noun13 @nounsdao⎮Join the https://t.co/RhWh0YF9Gv⎮https://t.co/IOGUinDdqD | https://t.co/BmKcXHQYn7,2267,1427220791951822848,devloper_eth,701,"{'description': {'urls': [{'url': 'https://t.co/RhWh0YF9Gv', 'expanded_url': 'http://nouns.party', 'display_url': 'nouns.party', 'indices': [26, 49]}, {'url': 'https://t.co/IOGUinDdqD', 'expanded_url': 'http://mirrornewsletter.xyz', 'display_url': 'mirrornewsletter.xyz', 'indices': [50, 73]}, {'url': 'https://t.co/BmKcXHQYn7', 'expanded_url': 'http://artblocks5.xyz', 'display_url': 'artblocks5.xyz', 'indices': [76, 99]}]}}",607,nyc,,False,3.0
3208,3208,Olympus Growth,2021-09-28 20:59:59+00:00,"Official community engagement channel of @Olympusdao Building the decentral reserve currency $OHM #OHMISBACKED
-📩DM for collaborations.
-📢Follow for updates",9306,1442957245592088576,OlympusGrowth,117,"{'url': {'urls': [{'url': 'https://t.co/TJ6tt47jxP', 'expanded_url': 'https://linktr.ee/olympusdao', 'display_url': 'linktr.ee/olympusdao', 'indices': [0, 23]}]}, 'description': {'urls': []}}",0,"(3, 3)",https://t.co/TJ6tt47jxP,False,3.0
3613,3613,"Tribeca ♜ Governance by DAOs, for DAOs",2021-08-22 01:31:14+00:00,"Tribeca is a Solana-based governance platform built by DAOs, for DAOs.

Discord: https://t.co/fF6pvCiEEy",1876,1429254092854075392,TribecaDAO,49,"{'url': {'urls': [{'url': 'https://t.co/AghxycW5ys', 'expanded_url': 'http://tribeca.so', 'display_url': 'tribeca.so', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/fF6pvCiEEy', 'expanded_url': 'https://discord.gg/cDvtZt886p', 'display_url': 'discord.gg/cDvtZt886p', 'indices': [81, 104]}]}}",13,Solana,https://t.co/AghxycW5ys,False,3.0
3166,3166,LevX DAO,2021-10-20 22:22:16+00:00,A prev-gen & old-fashioned DAO that you couldn't find any innovation but only memes & bullshits @sushibtoken @MunchkinLFG @SharkpunksNFT @maid_coin @bearfi_org,4901,1450950480968884227,LevXDAOhGeez,70,"{'url': {'urls': [{'url': 'https://t.co/IcpZxohCjP', 'expanded_url': 'https://discord.gg/oh-geez', 'display_url': 'discord.gg/oh-geez', 'indices': [0, 23]}]}, 'description': {'urls': []}}",10,,https://t.co/IcpZxohCjP,False,3.0
15209,15209,DeFrag.fi 🧮,2021-11-19 00:07:10+00:00,DeFrag is a decentralized liquidity market protocol where borrowers can use NFT assets as collateral to get a loan. Learn more 👉 https://t.co/pDHdNERTI0,1515,1461486138020007936,DefragFinance,61,"{'url': {'urls': [{'url': 'https://t.co/BuOrS54oyJ', 'expanded_url': 'http://defrag.fi', 'display_url': 'defrag.fi', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/pDHdNERTI0', 'expanded_url': 'http://docs.defrag.fi', 'display_url': 'docs.defrag.fi', 'indices': [129, 152]}]}}",0,,https://t.co/BuOrS54oyJ,False,3.0
12902,12902,Forta,2021-09-14 22:07:24+00:00,Real-time threat detection for smart contracts.Forta is the first decentralized community-based security protocol to prevent or mitigate exploits as they occur.,6695,1437900694514806789,FortaProtocol,181,"{'url': {'urls': [{'url': 'https://t.co/v9dGpSibZB', 'expanded_url': 'http://www.forta.org', 'display_url': 'forta.org', 'indices': [0, 23]}]}, 'description': {'urls': []}}",355,,https://t.co/v9dGpSibZB,False,3.0
16251,16251,721DAO,2021-10-29 09:11:39+00:00,"721DAO originated from within the @club721official community, founded by @9x9x9eth with a vision to create a decentralized entertainment metaverse",3396,1454012744328519682,721DAO_Official,173,"{'url': {'urls': [{'url': 'https://t.co/qBKJm7Defo', 'expanded_url': 'https://opensea.io/0xd06a5d3bae616fdaf9fd0fe9dcdd14b2aa097155', 'display_url': 'opensea.io/0xd06a5d3bae61…', 'indices': [0, 23]}]}, 'description': {'urls': []}}",23,,https://t.co/qBKJm7Defo,False,3.0
11285,11285,The Hamily,2021-08-04 18:01:38+00:00,"Hamily, Hamiltons, Ultracured Hamillionaires - NFT curated community for 750 ArtBlocks Sea Hams - https://t.co/Q6aYg4nqsj - (🌊,🍖)DAO",2487,1422981005938466823,sailobots,14326,"{'url': {'urls': [{'url': 'https://t.co/8mWXcPG7lJ', 'expanded_url': 'https://discord.gg/nTtCmkQEJa', 'display_url': 'discord.gg/nTtCmkQEJa', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/Q6aYg4nqsj', 'expanded_url': 'http://hamily.life', 'display_url': 'hamily.life', 'indices': [98, 121]}]}}",1266,Ξ,https://t.co/8mWXcPG7lJ,False,3.0
20732,20732,"rΞgan.eth (regan,regan)",2021-12-15 01:27:41+00:00,"crypto, dao, web3, all-of-it newb. Contributor @CryptoSocietyS1, @IndexCoop 🦉 & @BanklessDAO. USC student, trad-fi background. never financial advice.",5440,1470928421790355460,regannotraygan,2385,{'description': {'urls': []}},328,"New York, USA",,False,3.0
9164,9164,The Doge NFT 🦴,2021-09-10 23:44:41+00:00,"Own a pixel of the world’s most famous meme with $DOG

Backed by @PleasrDAO✨

Join the inner circle of doge 🐕 https://t.co/GtmsvcBPPO",7452,1436448375931506688,ownthedoge,2276,"{'url': {'urls': [{'url': 'https://t.co/CNiJlHbqNb', 'expanded_url': 'https://doge.pleasr.org/', 'display_url': 'doge.pleasr.org', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/GtmsvcBPPO', 'expanded_url': 'http://discord.gg/thedogenft', 'display_url': 'discord.gg/thedogenft', 'indices': [110, 133]}]}}",135,Internet,https://t.co/CNiJlHbqNb,False,3.0
21645,21645,Ricochet Exchange,2021-07-08 02:44:30+00:00,Effortless Real-Time Crypto Investing 🚰 Powered by @Superfluid_HQ ⚡️ Automatically buy + sell crypto in streams 💬 Discord: https://t.co/fqkW7w8UtF | $RIC,1153,1412965659273797633,ricochetxchange,705,"{'url': {'urls': [{'url': 'https://t.co/lOXo20D5TU', 'expanded_url': 'https://www.ricochet.exchange/', 'display_url': 'ricochet.exchange', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/fqkW7w8UtF', 'expanded_url': 'http://discord.gg/pvpKkXEzNf', 'display_url': 'discord.gg/pvpKkXEzNf', 'indices': [123, 146]}]}}",5,"Philadelphia, PA - Polygon L2",https://t.co/lOXo20D5TU,False,3.0
12349,12349,The Solciety | ポンプ |,2021-09-20 08:18:31+00:00,"PUBLIC SALE SOLD OUT IN 90 SECS!
A Solciety built on #Solana with 6999.9 anime #NFTs w/ unique personalities. Available on Magic Eden | https://t.co/gn7ozjOVHr",1852,1439866504774750211,TheSolcietyNFT,568,"{'url': {'urls': [{'url': 'https://t.co/5DxKvf0JNX', 'expanded_url': 'http://thesolciety.gg', 'display_url': 'thesolciety.gg', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/gn7ozjOVHr', 'expanded_url': 'http://linktr.ee/thesolcietynft', 'display_url': 'linktr.ee/thesolcietynft', 'indices': [136, 159]}]}}",27,Ponpu Island,https://t.co/5DxKvf0JNX,False,2.0
10652,10652,Hashes DAO,2021-10-05 17:01:45+00:00,"An NFT kind of DAO 
https://t.co/OL9WDBT1ho 
https://t.co/bZIZGFTcab
https://t.co/nqtSe2pYpd",2304,1445433971211395072,HashesDAO,96,"{'description': {'urls': [{'url': 'https://t.co/OL9WDBT1ho', 'expanded_url': 'http://thehashes.xyz', 'display_url': 'thehashes.xyz', 'indices': [20, 43]}, {'url': 'https://t.co/bZIZGFTcab', 'expanded_url': 'http://snapshot.org/#/thehashes.eth', 'display_url': 'snapshot.org/#/thehashes.eth', 'indices': [45, 68]}, {'url': 'https://t.co/nqtSe2pYpd', 'expanded_url': 'https://discord.gg/k9VDGjbr7d', 'display_url': 'discord.gg/k9VDGjbr7d', 'indices': [69, 92]}]}}",43,,,False,2.0
9216,9216,"CheeseDAO (🧀,🧀)",2021-11-22 21:20:37+00:00,CheeseDAO on Harmony (ONE). Gamified DeFi risk protocol. DM us cheez/cat/mouse/crypto related memes.,2387,1462893771994062851,CheezDAO,1231,"{'url': {'urls': [{'url': 'https://t.co/nl3LP8Tkyl', 'expanded_url': 'https://cheese.game', 'display_url': 'cheese.game', 'indices': [0, 23]}]}, 'description': {'urls': []}}",39,https://discord.gg/cheesedao,https://t.co/nl3LP8Tkyl,False,2.0
9125,9125,Munchkin LFG,2021-10-31 00:17:33+00:00,"To da $MUN not MOON, hooman
@LevXDAOhGeez",1009,1454603376075763715,MunchkinLFG,5,"{'url': {'urls': [{'url': 'https://t.co/7pzo9scBUy', 'expanded_url': 'https://discord.gg/BxrGJ67MbC', 'display_url': 'discord.gg/BxrGJ67MbC', 'indices': [0, 23]}]}, 'description': {'urls': []}}",10,,https://t.co/7pzo9scBUy,False,2.0
8963,8963,entities.eth 🦎,2021-07-25 18:30:41+00:00,"No-code Generative #NFT Launchpad & DAO

https://t.co/HaTLbniJIw",5946,1419364447638929413,entitieswtf,1179,"{'url': {'urls': [{'url': 'https://t.co/nVhLqAHG2b', 'expanded_url': 'https://entities.wtf', 'display_url': 'entities.wtf', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/HaTLbniJIw', 'expanded_url': 'https://opensea.io/collection/metageckos-genesis', 'display_url': 'opensea.io/collection/met…', 'indices': [41, 64]}]}}",214,🪐 ,https://t.co/nVhLqAHG2b,False,2.0
12060,12060,BetDEX,2021-09-16 16:18:36+00:00,"Building the decentralized sports betting protocol

Website: https://t.co/ncnU5CpfQi",6744,1438537652282724356,BetDEXLabs,77,"{'description': {'urls': [{'url': 'https://t.co/ncnU5CpfQi', 'expanded_url': 'http://betdex.com', 'display_url': 'betdex.com', 'indices': [61, 84]}]}}",46,,,True,2.0
12336,12336,Parcel,2021-06-29 18:35:59+00:00,The destination for virtual real estate #VRE 🏡 | Real-time price appraisal 🤑 | Join our Discord 👉 https://t.co/xyVkPLy0DQ | We're Hiring! 🚀 https://t.co/xWbZ9wIOlX,9235,1409943440578781193,ParcelNFT,1389,"{'url': {'urls': [{'url': 'https://t.co/PKOd6mSAVq', 'expanded_url': 'http://www.parcel.so', 'display_url': 'parcel.so', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/xyVkPLy0DQ', 'expanded_url': 'http://discord.gg/7qUaAQf2Hs', 'display_url': 'discord.gg/7qUaAQf2Hs', 'indices': [98, 121]}, {'url': 'https://t.co/xWbZ9wIOlX', 'expanded_url': 'http://bit.ly/3m7pHzJ', 'display_url': 'bit.ly/3m7pHzJ', 'indices': [140, 163]}]}}",70,Metaverse,https://t.co/PKOd6mSAVq,False,2.0
6344,6344,"PixelDAO (🎮 , 🎮)",2021-11-24 19:48:44+00:00,Web3 P2E/Metaverse incubator + investment DAO. POL model. Built on Harmony. Join us: https://t.co/D7assCSFtR,4199,1463595410447032327,pixeldaofi,335,"{'url': {'urls': [{'url': 'https://t.co/5wzgLfLnUz', 'expanded_url': 'https://linktr.ee/pixeldao', 'display_url': 'linktr.ee/pixeldao', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/D7assCSFtR', 'expanded_url': 'http://discord.gg/pixeldao', 'display_url': 'discord.gg/pixeldao', 'indices': [85, 108]}]}}",15,The Metaverse,https://t.co/5wzgLfLnUz,False,2.0
12342,12342,Dionysus,2021-09-27 09:40:12+00:00,@klimaDAO #climatefinance #DeFi,4404,1442423792978960398,Dionysus_Klima,256,"{'url': {'urls': [{'url': 'https://t.co/RdGIVfRGGq', 'expanded_url': 'https://klimadao.finance/', 'display_url': 'klimadao.finance', 'indices': [0, 23]}]}, 'description': {'urls': []}}",51,,https://t.co/RdGIVfRGGq,False,2.0
13513,13513,🎮 Play Intern,2021-07-27 02:24:47+00:00,"👩‍🔬 @playfuturefund | 🔭 Mapping & Writing 📝 about Crypto, DeFi and the 🎮 Gaming Metaverse ✨ | Member of the Notes/Pod/Intern Squad 🤝 | Let's connect! 👋",2298,1419845922637303814,playtern,3748,{'description': {'urls': []}},575,Metaverse 🛸,,False,2.0
12882,12882,Avari,2021-07-24 23:33:22+00:00,Avari is an uncollateralized lending protocol on Solana. Founded by @Stanford engineers,1470,1419078245887225858,AvariHQ,247,{'description': {'urls': []}},99,"Stanford, CA",,False,2.0
12908,12908,Avid Lines,2021-07-18 23:59:05+00:00,Generative art project || @FingerprintsDAO x Arihz (@framergence),3012,1416910397744066566,AvidLines,319,"{'url': {'urls': [{'url': 'https://t.co/nDBuSafnvc', 'expanded_url': 'https://opensea.io/collection/avid-lines', 'display_url': 'opensea.io/collection/avi…', 'indices': [0, 23]}]}, 'description': {'urls': []}}",6,https://discord.gg/KTYEyaAgVM,https://t.co/nDBuSafnvc,False,2.0
12922,12922,frendao,2021-10-28 18:59:04+00:00,frens trying to do good through NFTs. a DAO within the @OlympusDAO ecosystem focused on social causes. https://t.co/Q8s0a72WDw,3206,1453798449145688074,TheFrenDAO,2,"{'url': {'urls': [{'url': 'https://t.co/1Kvl9DEQDx', 'expanded_url': 'https://frendao.xyz/', 'display_url': 'frendao.xyz', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/Q8s0a72WDw', 'expanded_url': 'https://discord.gg/j8WtKBWGvk', 'display_url': 'discord.gg/j8WtKBWGvk', 'indices': [103, 126]}]}}",1,,https://t.co/1Kvl9DEQDx,False,2.0
13156,13156,Syndica,2021-09-11 14:51:19+00:00,"Scalable infrastructure for Web 3.0. 

DM the founders @SyndicaIsHiring if any roles at https://t.co/7pL3vp5evG interest you.",4812,1436703851931967488,Syndica_io,32,"{'url': {'urls': [{'url': 'https://t.co/GgNBWr2gZJ', 'expanded_url': 'https://syndica.io', 'display_url': 'syndica.io', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/7pL3vp5evG', 'expanded_url': 'http://syndica.io/careers', 'display_url': 'syndica.io/careers', 'indices': [88, 111]}]}}",18,discord.gg/XYdHaetwdd,https://t.co/GgNBWr2gZJ,False,2.0
15949,15949,"Wagmi Labs ($1T, $1T)",2021-11-26 20:13:58+00:00,Wagmi Labs is a C-Corp set up by three Ohmies to help family offices and institutions invest in the @OlympusDAO ecosystem. Discord https://t.co/dYlQypFKhQ,2031,1464326536262258695,WagmiLabsInc,126,"{'url': {'urls': [{'url': 'https://t.co/4SEdgfx64P', 'expanded_url': 'https://wagmi.ink', 'display_url': 'wagmi.ink', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/dYlQypFKhQ', 'expanded_url': 'https://discord.gg/EUdKZgb8de', 'display_url': 'discord.gg/EUdKZgb8de', 'indices': [131, 154]}]}}",19,,https://t.co/4SEdgfx64P,False,2.0
16632,16632,ludens,2021-06-14 17:05:02+00:00,summoner of @latticexyz,1140,1404485017204523014,l_udens,12,{'description': {'urls': []}},1,,,False,2.0
18034,18034,MarrowDAO | Guild W,2021-06-01 22:45:04+00:00,"In #metaverse, we BUIDL. | Guild W - the first on-chain e-sports team | ❤ @darkforest_eth  ❤ Sub DAO of @rhizomedao  | DM is open.",2320,1399859503420510209,marrowdao,183,"{'url': {'urls': [{'url': 'https://t.co/How6PComAi', 'expanded_url': 'https://buidl.mirror.xyz/', 'display_url': 'buidl.mirror.xyz', 'indices': [0, 23]}]}, 'description': {'urls': []}}",144,,https://t.co/How6PComAi,False,2.0
18850,18850,"Spice DAO (🏜,🏜)",2021-11-18 16:48:56+00:00,"He who controls the $SPICE, controls the DAO. https://t.co/V3pNY4IGet",3447,1461375850788659203,TheSpiceDAO,113,"{'url': {'urls': [{'url': 'https://t.co/x3csf8PD4d', 'expanded_url': 'http://dune.foundation', 'display_url': 'dune.foundation', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/V3pNY4IGet', 'expanded_url': 'http://discord.gg/ZpbBA2fCKe', 'display_url': 'discord.gg/ZpbBA2fCKe', 'indices': [46, 69]}]}}",4,Arrakis,https://t.co/x3csf8PD4d,False,2.0
19568,19568,Block Earner,2021-07-27 05:40:03+00:00,Block Earner is your portal to the future of finance.,896,1419895148071198723,blockearner,24,"{'url': {'urls': [{'url': 'https://t.co/rwCkb8nrve', 'expanded_url': 'https://blockearner.com.au/', 'display_url': 'blockearner.com.au', 'indices': [0, 23]}]}, 'description': {'urls': []}}",110,"Sydney, Australia",https://t.co/rwCkb8nrve,False,2.0
19868,19868,Official DAO Masters 🎓,2021-10-27 01:46:04+00:00,Our mission is to onboard the next million DAO contributors & operators. Join our Discord! $DAOMSTR,2529,1453176047588069381,daomastersxyz,41,"{'url': {'urls': [{'url': 'https://t.co/SK1hzXb9fK', 'expanded_url': 'http://daomasters.xyz', 'display_url': 'daomasters.xyz', 'indices': [0, 23]}]}, 'description': {'urls': []}}",7,Metaverse,https://t.co/SK1hzXb9fK,False,2.0
20426,20426,"Timshel (😈,😇)",2021-09-07 16:32:24+00:00,“On-chain Historian”︱@genesisloot Project + @LootProject + 🆗 Corruption(s*) DAO + @divine_dao = Buidling an on-chain collaborative media movement,2550,1435279537177186305,TimshelXYZ,1389,"{'url': {'urls': [{'url': 'https://t.co/xfkRfw8gOK', 'expanded_url': 'http://genesisproject.xyz', 'display_url': 'genesisproject.xyz', 'indices': [0, 23]}]}, 'description': {'urls': []}}",1229,Join Us in Discord 🔮,https://t.co/xfkRfw8gOK,False,2.0
21088,21088,hyaliko,2021-06-02 00:16:10+00:00,https://t.co/8ng7yhahRW: the social spatial nft gallery | minting now at https://t.co/JEpwvvAehb | available now on the web and in the iOS app store | https://t.co/oEIPnnrla8,1388,1399882310124806148,hyaliko,1194,"{'url': {'urls': [{'url': 'https://t.co/nnNbNGfGTh', 'expanded_url': 'https://www.hyaliko.com', 'display_url': 'hyaliko.com', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/8ng7yhahRW', 'expanded_url': 'http://hyaliko.com', 'display_url': 'hyaliko.com', 'indices': [0, 23]}, {'url': 'https://t.co/JEpwvvAehb', 'expanded_url': 'http://hyaliko.com/mint', 'display_url': 'hyaliko.com/mint', 'indices': [73, 96]}, {'url': 'https://t.co/oEIPnnrla8', 'expanded_url': 'http://discord.gg/2xvCVkAuWu', 'display_url': 'discord.gg/2xvCVkAuWu', 'indices': [151, 174]}]}}",2837,discord.gg/2xvCVkAuWu,https://t.co/nnNbNGfGTh,False,2.0
21406,21406,Good Karma DAO,2021-10-22 19:16:26+00:00,a music label dao supporting groundbreaking artists in web3 https://t.co/yRiz0KV59r,2391,1451628396824326144,goodkarmadao,171,"{'url': {'urls': [{'url': 'https://t.co/vyUO3iBmCd', 'expanded_url': 'https://discord.gg/7SjwNzpQMb', 'display_url': 'discord.gg/7SjwNzpQMb', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/yRiz0KV59r', 'expanded_url': 'https://t.me/joinchat/mWhfY2kOxIRiMDQx', 'display_url': 't.me/joinchat/mWhfY…', 'indices': [60, 83]}]}}",24,metaverse,https://t.co/vyUO3iBmCd,False,2.0
21411,21411,Lattice,2021-07-08 19:46:08+00:00,Lattice invests in early crypto protocols and projects,1003,1413222814430097409,lattice_fund,2,"{'url': {'urls': [{'url': 'https://t.co/K6U1YNfWqc', 'expanded_url': 'http://latticecap.co', 'display_url': 'latticecap.co', 'indices': [0, 23]}]}, 'description': {'urls': []}}",1,,https://t.co/K6U1YNfWqc,False,2.0
21729,21729,"SnoopDAO (doge, doge)",2021-10-28 11:41:04+00:00,"SnoopDAO: Stake $DOG to earn SNOOP. The NFTs bought using $DOG from our site fund our treasury. #PupOnly!!!

Community DAO: https://t.co/SXdpFnfuwl",1532,1453688200510070789,snoopdaodotxyz,103,"{'url': {'urls': [{'url': 'https://t.co/28NqEaZ1Tu', 'expanded_url': 'http://snoopdao.xyz', 'display_url': 'snoopdao.xyz', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/SXdpFnfuwl', 'expanded_url': 'http://discord.gg/VBUkVBRh3N', 'display_url': 'discord.gg/VBUkVBRh3N', 'indices': [124, 147]}]}}",32,,https://t.co/28NqEaZ1Tu,False,2.0
6340,6340,"AVentures (🌄,🔺)",2021-09-08 21:53:37+00:00,Supporting and investing in innovative #Avalanche projects. Teams looking for funding or advisory support please approach us.,4280,1435722926590943239,AventuresDao,401,"{'url': {'urls': [{'url': 'https://t.co/6LJqd13Kiw', 'expanded_url': 'http://aventuresdao.io/', 'display_url': 'aventuresdao.io', 'indices': [0, 23]}]}, 'description': {'urls': []}}",181,Metaverse,https://t.co/6LJqd13Kiw,False,2.0
